kreds,id,gyldige stemmer i alt,gyldige brevstemmer i alt,ugyldige stemmer i alt (1+2),1. ugyldige stemmer afgivet på afstemningsstedet (1a-1n),1a. blanke,1b. andet mærke end kryds i stedet for kryds,1c. helt eller delvist overstreget,1d. kryds i flere partifelter,1e. kryds rækker ind i flere partifelter,1f. kryds ud for ordene uden for partierne,"1g. overstreget, udvisket eller halvt kryds",1h. kryds uden for partifelterne,1i. andre grunde til tvivl om vælgerens stemmafgivning,1j. stemmeseddel ikke udleveret på afstemningsstedet,1k. andet mærke end kryds foruden kryds,1l. anført mere end tre kryds,"1m. stemmeseddel med tegning, på skrift eller klæbning","1n. afm. m. forskell. farver, iturevet mv., andet særpræg",2. ugyldige brevstemmer (2a-2l),2a. blanke,2b. kun navn på ikke opstillet person eller tillige usikker uofficiel bogstavsbetegnelse,2c. kun anført uofficiel bogstavbetegnelse på ét bogstav,2d. kun anført usikker uofficiel bogstavbetegnelse på flere bogstaver,2e. kun anført kryds,"2f. modstrid vedrørende bogstavbetegnelse, partinavn, personnavn",2g. andre grunde til tvivl om vælgers stemmeafgivning,2h. andet eller mere end én stemmeseddel i konvolutten,2i. stemmeseddel ikke tilvejebragt af ministeren,2j. konvolut med påskrift eller påklæbning,"2k. stemmeseddel med tegning, påskrift eller påklæbning","2l. udfyldt på bagsiden, iturevet mv., andet særpræg",ikke i betragtning tagne brevstemmer (3a-3g),3a. afsenderen var ikke opført på valglisten,3b. afsenderen var død inden valgdagen,3c. yderkuverten indeholdt flere end ét følgebrev og én konvolut,3d. stemmematerialet var ikke det af ministeren tilvejebragte,3e. den foreskrevne fremgangsmåde ved stemmeafgivning har ikke været fulgt,3f. brevstemmen var ikke afgivet indenfor de i loven nævnte frister,3g. vælgeren har afgivet mere end en brevstemme,for sent modtagne brevstemmer
hele landet,3531720,298612,37801,32426,25737,1665,270,1274,214,21,403,287,72,5,615,222,1446,195,5375,2044,555,311,97,329,896,410,57,72,29,513,62,3108,709,68,20,367,873,28,1043,15
hovedstaden,1076921,120193,10459,8389,6521,402,66,351,61,7,122,61,28,0,198,82,418,72,2070,770,243,100,32,102,308,173,24,30,17,223,48,1609,476,33,9,175,349,13,554,10
københavns storkreds,452405,51995,4351,3417,2599,163,31,166,20,4,49,21,12,0,86,29,183,54,934,333,83,38,17,42,138,76,5,12,14,139,37,815,360,9,2,64,120,4,256,10
1. østerbro,47950,5824,414,287,220,16,1,12,1,0,1,0,0,0,17,1,18,0,127,33,10,7,0,6,19,11,0,0,0,40,1,79,36,0,0,9,6,0,28,0
1. nord,9787,1103,116,73,48,7,0,1,0,0,1,0,0,0,13,1,2,0,43,5,0,0,0,2,1,2,0,0,0,33,0,,,,,,,,,
1. syd,5053,654,43,30,23,0,1,3,0,0,0,0,0,0,1,0,2,0,13,4,4,0,0,1,0,0,0,0,0,4,0,,,,,,,,,
1. vest,9888,1058,53,41,34,1,0,1,0,0,0,0,0,0,1,0,4,0,12,5,0,0,0,0,6,0,0,0,0,0,1,,,,,,,,,
1. nordvest,8877,1274,84,54,44,1,0,2,0,0,0,0,0,0,2,0,5,0,30,7,2,5,0,3,6,5,0,0,0,2,0,,,,,,,,,
1. øst,7981,1003,84,57,46,4,0,2,1,0,0,0,0,0,0,0,4,0,27,10,4,2,0,0,6,4,0,0,0,1,0,,,,,,,,,
2. sundbyvester,6364,732,34,32,25,3,0,3,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
2. nord,41223,4490,423,328,258,11,4,20,2,0,4,0,1,0,0,3,23,2,95,33,5,7,1,4,12,1,0,2,7,21,2,57,32,0,0,4,6,0,15,0
2. syd,7554,845,110,80,67,2,0,5,1,0,0,0,0,0,0,0,5,0,30,9,1,2,0,2,4,0,0,0,0,12,0,,,,,,,,,
2. vest,10336,1249,99,75,55,0,0,6,0,0,3,0,0,0,0,0,11,0,24,13,0,4,0,0,3,0,0,0,0,4,0,,,,,,,,,
2. øst,7853,731,87,69,57,1,0,7,0,0,0,0,0,0,0,0,3,1,18,4,0,1,1,0,2,1,0,0,7,2,0,,,,,,,,,
3. indre by,9127,950,70,61,52,2,0,2,1,0,0,0,1,0,0,1,2,0,9,3,1,0,0,1,1,0,0,2,0,1,0,,,,,,,,,
3. nord,6353,715,57,43,27,6,4,0,0,0,1,0,0,0,0,2,2,1,14,4,3,0,0,1,2,0,0,0,0,2,2,,,,,,,,,
3. syd,34872,5554,297,228,171,8,0,13,1,0,6,4,1,0,10,2,12,0,69,26,13,1,0,2,12,4,0,1,0,6,4,79,49,0,0,6,8,0,16,0
3. øst,10784,2305,67,48,38,0,0,1,0,0,5,0,1,0,2,1,0,0,19,9,6,0,0,0,4,0,0,0,0,0,0,,,,,,,,,
4. sundbyøster,5696,716,52,40,30,0,0,0,0,0,1,3,0,0,1,0,5,0,12,1,0,0,0,0,3,0,0,0,0,5,3,,,,,,,,,
4. nord,8331,1060,69,56,38,5,0,3,0,0,0,1,0,0,6,0,3,0,13,6,2,1,0,0,2,0,0,1,0,1,0,,,,,,,,,
4. syd,10061,1473,109,84,65,3,0,9,1,0,0,0,0,0,1,1,4,0,25,10,5,0,0,2,3,4,0,0,0,0,1,,,,,,,,,
4. øst,34038,3269,367,290,223,22,6,12,4,1,9,2,0,0,0,2,6,3,77,25,3,2,0,2,12,11,0,1,4,13,4,50,21,1,0,3,9,0,16,0
5. nørrebro,8003,741,75,62,45,3,0,1,0,1,6,2,0,0,0,1,3,0,13,3,1,1,0,0,3,1,0,1,0,3,0,,,,,,,,,
5. nord,11710,1220,143,111,86,12,3,7,0,0,0,0,0,0,0,0,0,3,32,10,2,0,0,2,4,10,0,0,0,0,4,,,,,,,,,
5. syd,6760,580,68,56,43,3,3,2,3,0,0,0,0,0,0,0,2,0,12,5,0,0,0,0,4,0,0,0,0,3,0,,,,,,,,,
5. øst,7565,728,81,61,49,4,0,2,1,0,3,0,0,0,0,1,1,0,20,7,0,1,0,0,1,0,0,0,4,7,0,,,,,,,,,
5. vest,47505,5160,416,341,251,17,2,22,1,1,2,2,4,0,11,0,9,19,75,27,10,1,3,1,5,9,2,2,0,13,2,108,65,2,0,4,4,0,33,0
5. nordvest,5404,734,57,40,23,2,0,4,0,1,1,0,0,0,1,0,0,8,17,5,6,0,3,0,0,2,1,0,0,0,0,,,,,,,,,
5. nørrebrohallen,8457,945,70,62,48,0,0,3,0,0,1,2,0,0,0,0,0,8,8,2,0,1,0,1,1,1,0,1,0,0,1,,,,,,,,,
6. bispebjerg,5003,588,55,37,24,1,0,2,0,0,0,0,2,0,4,0,1,3,18,3,1,0,0,0,0,2,1,0,0,11,0,,,,,,,,,
6. nord,5928,641,54,47,38,3,0,3,0,0,0,0,0,0,3,0,0,0,7,5,0,0,0,0,1,0,0,0,0,1,0,,,,,,,,,
6. øst,6051,519,43,41,30,8,0,3,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,
6. syd,8611,903,77,62,48,0,0,6,0,0,0,0,0,0,0,0,8,0,15,8,1,0,0,0,1,4,0,0,0,0,1,,,,,,,,,
6. vest,8051,830,60,52,40,3,2,1,1,0,0,0,2,0,3,0,0,0,8,3,2,0,0,0,2,0,0,0,0,1,0,,,,,,,,,
7. brønshøj,29018,3103,321,258,187,13,4,22,2,0,5,0,0,0,2,0,18,5,63,20,12,7,0,4,10,2,1,1,0,4,2,71,36,0,0,10,4,4,17,0
7. nord,8423,847,84,68,53,5,3,1,1,0,1,0,0,0,0,0,0,4,16,2,8,2,0,1,0,2,1,0,0,0,0,,,,,,,,,
7. syd,5762,734,67,53,36,2,1,7,0,0,1,0,0,0,2,0,4,0,14,8,0,0,0,2,3,0,0,0,0,1,0,,,,,,,,,
7. øst,3164,293,25,21,16,0,0,0,0,0,2,0,0,0,0,0,3,0,4,0,0,2,0,0,2,0,0,0,0,0,0,,,,,,,,,
7. vest,7648,753,90,71,53,0,0,9,0,0,1,0,0,0,0,0,7,1,19,6,3,2,0,1,4,0,0,0,0,1,2,,,,,,,,,
7. nordvest,4021,476,55,45,29,6,0,5,1,0,0,0,0,0,0,0,4,0,10,4,1,1,0,0,1,0,0,1,0,2,0,,,,,,,,,
7. katrinedal,46036,5074,511,405,303,21,5,18,2,1,9,3,4,0,7,9,14,9,106,45,9,1,0,6,10,9,0,3,3,3,17,76,24,0,0,3,19,0,30,0
7. kirkebjerg,3320,351,38,31,21,2,1,1,0,0,0,0,0,0,0,0,0,6,7,3,0,0,0,0,1,3,0,0,0,0,0,,,,,,,,,
7. vanløse,1634,146,32,22,14,2,0,3,0,0,1,0,0,0,1,0,1,0,10,6,0,0,0,0,3,0,0,0,0,1,0,,,,,,,,,
8. valby,6102,627,64,55,40,0,4,5,0,0,0,0,0,0,0,0,5,1,9,3,2,1,0,1,0,0,0,0,0,2,0,,,,,,,,,
8. nord,6932,812,48,46,32,3,0,2,0,0,0,1,0,0,5,0,3,0,2,1,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,
8. syd,4581,606,82,53,31,10,0,1,0,0,0,1,1,0,1,6,0,2,29,6,2,0,0,1,1,2,0,0,0,0,17,,,,,,,,,
8. vest,6629,616,58,47,39,1,0,2,0,0,0,1,1,0,0,3,0,0,11,6,2,0,0,1,0,2,0,0,0,0,0,,,,,,,,,
8. sydøst,3874,438,42,33,25,3,0,3,0,1,0,0,1,0,0,0,0,0,9,4,0,0,0,0,3,2,0,0,0,0,0,,,,,,,,,
8. midt,4503,473,40,32,29,0,0,0,2,0,0,0,1,0,0,0,0,0,8,6,1,0,0,0,1,0,0,0,0,0,0,,,,,,,,,
9. vesterbro,8461,1005,107,86,72,0,0,1,0,0,8,0,0,0,0,0,5,0,21,10,2,0,0,3,0,0,0,3,3,0,0,,,,,,,,,
9. nord,32453,2859,424,359,263,26,3,20,0,0,10,3,0,0,5,1,17,11,65,25,4,3,3,2,10,8,0,0,0,5,5,54,15,1,0,8,6,0,24,0
9. syd,6773,569,79,70,52,6,0,6,0,0,0,0,0,0,1,0,5,0,9,4,0,0,3,0,1,1,0,0,0,0,0,,,,,,,,,
9. øst,7485,765,89,71,59,0,0,6,0,0,1,0,0,0,0,0,3,2,18,9,0,1,0,0,5,3,0,0,0,0,0,,,,,,,,,
9. vest,4733,353,56,53,40,0,0,4,0,0,3,1,0,0,0,0,0,5,3,0,0,0,0,0,2,1,0,0,0,0,0,,,,,,,,,
9. midt,3722,267,52,43,26,11,1,0,0,0,2,0,0,0,0,0,2,1,9,3,0,0,0,1,2,0,0,0,0,1,2,,,,,,,,,
9. sydhavn,3610,401,66,47,28,6,2,1,0,0,2,1,0,0,2,1,4,0,19,5,4,0,0,1,0,3,0,0,0,3,3,,,,,,,,,
10. falkoner,6130,504,82,75,58,3,0,3,0,0,2,1,0,0,2,0,3,3,7,4,0,2,0,0,0,0,0,0,0,1,0,,,,,,,,,
"10. kreds, søerne",40215,3825,343,292,217,12,3,11,2,0,2,0,2,0,12,4,23,4,51,18,6,0,3,1,8,6,0,1,0,8,0,72,41,0,0,5,7,0,19,10
"10. kreds, ny hollænder",6240,566,39,32,26,3,1,0,1,0,0,0,1,0,0,0,0,0,7,3,0,0,0,1,1,0,0,0,0,2,0,,,,,,,,,
"10. kreds, bülowsvej",6980,764,46,41,32,0,1,2,0,0,0,0,0,0,1,2,3,0,5,2,0,0,0,0,0,0,0,1,0,2,0,,,,,,,,,
"10. kreds, duevej",6536,560,97,81,59,1,0,3,1,0,0,0,1,0,4,0,10,2,16,4,4,0,0,0,1,6,0,0,0,1,0,,,,,,,,,
11. slots,5492,641,39,31,22,0,1,0,0,0,0,0,0,0,3,0,3,2,8,1,0,0,2,0,2,0,0,0,0,3,0,,,,,,,,,
"11. kreds, lindevang",5246,522,31,25,17,2,0,2,0,0,1,0,0,0,2,0,1,0,6,5,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,
"11. kreds, søndermark",2496,204,31,28,19,2,0,2,0,0,1,0,0,0,2,0,2,0,3,0,1,0,1,0,1,0,0,0,0,0,0,,,,,,,,,
"11. kreds, rådhuset",7225,568,60,54,42,4,0,2,0,0,0,0,0,0,0,2,4,0,6,3,1,0,0,0,2,0,0,0,0,0,0,,,,,,,,,
"11. kreds, nyelandsvej",33399,4474,218,156,118,12,0,7,0,1,0,2,0,0,3,2,11,0,62,27,3,6,6,4,10,1,2,1,0,2,0,48,7,1,1,2,14,0,23,0
12. tårnby,7310,1020,51,36,27,4,0,2,0,0,0,1,0,0,0,0,2,0,15,6,2,1,1,0,5,0,0,0,0,0,0,,,,,,,,,
dragør skole syd,7613,1124,54,39,27,5,0,1,0,0,0,0,0,0,1,2,3,0,15,7,0,2,0,1,3,0,1,0,0,1,0,,,,,,,,,
hollænderhallen,9544,1258,53,35,24,3,0,2,0,0,0,0,0,0,2,0,4,0,18,5,1,3,0,3,2,1,1,1,0,1,0,,,,,,,,,
