navn,nummer,dagi_id
1. Østerbro,1,707732
1. Nord,2,711932
1. Syd,3,704936
1. Vest,5,706160
1. Nordvest,6,710802
2. Sundbyvester,7,711204
2. Nord,8,706166
2. Syd,9,706562
2. Vest,10,712286
3. Indre By,11,711926
3. Nord,12,709378
3. Syd,13,704846
3. Øst,14,707672
4. Sundbyøster,16,707726
4. Nord,17,704930
4. Syd,18,706154
4. Øst,19,701580
5. Nørrebro,20,706196
5. Nord,21,706184
5. Syd,22,703386
5. Øst,23,704962
5. Vest,24,710832
5. Nordvest,25,704956
6. Bispebjerg,27,707738
6. Nord,28,701606
6. Øst,29,706172
6. Syd,30,710808
7. Brønshøj,31,704944
7. Nord,32,710820
7. Rødkilde,33,701626
7. Øst,34,706178
7. Vest,35,711946
7. Nordvest,36,707744
7. Katrinedal,39,704950
7. Kirkebjerg,40,703374
7. Vanløse,41,710814
8. Valby,42,707648
8. Nord,43,709306
8. Syd,44,704776
8. Vest,46,711890
8. Sydøst,47,701520
8. Midt,48,704784
9. Vesterbro,49,709384
9. Nord,50,701612
9. Syd,51,706112
9. Øst,52,709330
9. Vest,53,709338
9. Midt,54,704918
9. Sydhavn,55,706120
1. Øst,56,725338
2. Øst,57,725346
5. Nørrebrohallen,58,725352
6. Vest,59,725358
"10. Kreds, Søerne",1,701758
"10. Kreds, Grundtvigsvej",2,705122
"10. Kreds, Bülowsvej",3,709590
"10. Kreds, Duevej",4,711030
"11. Kreds, Lindevang",5,709552
"11. Kreds, Søndermark",6,703490
"11. Kreds, Rådhuset",7,701726
"11. Kreds, Nyelandsvej",8,710972
Tapeten,1,701002
Baltorpskolen - Rugvænget,2,706986
Skovvejens Skole - Vest,3,710146
Grantoftehallen,4,710158
Idrætshallen,5,705652
Skovlunde Skole - Lundebjerg,6,704024
Måløv Ny Hal,8,706992
Egebjerghallen,9,710152
Østerhøjhallen,10,710164
Brøndbyvester Skole,1,707090
Tjørnehøjhallen,2,707084
Lindelundshallen,3,708674
Nørregård,4,702442
Kulturhuset Brønden,5,702448
Dragør Skole,1,706596
Hollænderhallen,4,701922
Jægersborg,1,707338
Munkegård,2,704436
Rådhuset,3,702884
Bakkegård,4,702878
Dyssegård,5,711716
Maglegård,6,702890
Hellerup,7,701254
Ordrup,8,702872
Skovshoved,9,704424
Skovgård,10,708814
Bagsværd,1,708600
Hovedbiblioteket,2,711428
Egegård,3,702286
Grønnemose,4,710060
Mørkhøj,5,700958
Stengård,6,700934
Søborg,7,706974
Vadgård,8,708592
Værebro,9,706944
